"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","COUNTERPART_COUNTRY.ID","COUNTERPART_COUNTRY","FREQUENCY.ID","FREQUENCY","SCALE.ID","SCALE","TRADE_FLOW.ID","TRADE_FLOW","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.WSM.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","WSM","Samoa","A","Annual","6","Millions","XG","Exports of goods","","0.39","","","","0.01316","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.AIA.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","AIA","Anguilla, United Kingdom-British Overseas Territory","A","Annual","6","Millions","XG","Exports of goods","","","","","0.000041","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.MHL.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","MHL","Marshall Islands, Republic of the","A","Annual","6","Millions","MG","Imports of goods","","0.005036","","0.000622","0.506351","1.81171","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.SXM.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","SXM","Sint Maarten, Kingdom of the Netherlands","A","Annual","6","Millions","XG","Exports of goods","","","","","0.000954","0.180079","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.FSM.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","FSM","Micronesia, Federated States of","A","Annual","6","Millions","XG","Exports of goods","","","0.008607","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.AIA.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","AIA","Anguilla, United Kingdom-British Overseas Territory","A","Annual","6","Millions","MG","Imports of goods","","0.002626","0.026953","0.000346","0.001243","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TX799.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TX799","Africa not specified","A","Annual","6","Millions","XG","Exports of goods","0.000868","","4.604495","","0.105235","0.206692","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.FSM.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","FSM","Micronesia, Federated States of","A","Annual","6","Millions","MG","Imports of goods","","","0.000892","","","0.000508","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.SXM.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","SXM","Sint Maarten, Kingdom of the Netherlands","A","Annual","6","Millions","MG","Imports of goods","","","","","0.000322","0.000207","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.MHL.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","MHL","Marshall Islands, Republic of the","A","Annual","6","Millions","XG","Exports of goods","0.066777","0.301354","9.159825","9.39639","0.03316","0.440667","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.FLK.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","FLK","Falkland Islands (Malvinas)","A","Annual","6","Millions","MG","Imports of goods","0.044569","0.985693","0.299246","0.104784","0.382194","1.13717","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.VAT.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","VAT","Holy See","A","Annual","6","Millions","MG","Imports of goods","0.000036","0.000288","","0.000128","0.000627","0.00435","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.BLZ.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","BLZ","Belize","A","Annual","6","Millions","MG","Imports of goods","0.00078","0.00448","0.020034","0.013816","0.003497","0.40623","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TX884.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TX884","Europe not specified","A","Annual","6","Millions","XG","Exports of goods","2.363461","6.256121","0.098703","0.17449","7.164284","13.478449","6.787604","4.869362","4.97122"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.GMB.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","GMB","Gambia, The","A","Annual","6","Millions","XG","Exports of goods","3.018642","0.241225","1.554484","8.564599","8.697749","0.475134","0.883438","0.633772","0.647027"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.STP.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","STP","São Tomé and Príncipe, Democratic Republic of","A","Annual","6","Millions","XG","Exports of goods","0.006412","0.005808","0.00679","0.006305","0.011058","0.007614","0.02074","0.01488","0.01519"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.SMR.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","SMR","San Marino, Republic of","A","Annual","6","Millions","XG","Exports of goods","0.00824","0.014886","0.236723","0.028536","0.02988","1.284647","4.658069","3.341655","3.411555"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.SSD.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","SSD","South Sudan, Republic of","A","Annual","6","Millions","XG","Exports of goods","0.07386","0.944552","2.809706","3.080659","3.087981","7.748424","10.026757","7.193101","7.343566"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.NCL.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","NCL","New Caledonia","A","Annual","6","Millions","XG","Exports of goods","3.233891","0.373833","2.791003","0.06197","3.672657","2.666945","2.508646","1.799681","1.837326"
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.TLS.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","TLS","Timor-Leste, Democratic Republic of","A","Annual","6","Millions","MG","Imports of goods","0.012691","0.026114","0.000753","0.002088","0.023084","0.007248","0.000035","0.000025","0.000023"
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.TKM.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","TKM","Turkmenistan","A","Annual","6","Millions","MG","Imports of goods","331.206491","84.280264","155.120426","151.006647","320.629816","140.494591","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.PYF.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","PYF","French Polynesia","A","Annual","6","Millions","XG","Exports of goods","0.000959","","0.015548","0.003204","0.000844","0.005685","0.001585935435168132","","0.00002370582757605429"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.BHR.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","BHR","Bahrain, Kingdom of","A","Annual","6","Millions","XG","Exports of goods","47.316735","5.173909","93.674018","35.325512","8.759316","13.898839","6.868230215684836","3.484728661297008","3.606088249984687"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.BEN.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","BEN","Benin","A","Annual","6","Millions","XG","Exports of goods","1.666398","9.923146","10.227104","9.877634","56.715514","37.591641","18.73398307723259","38.94164913281509","86.76471486130076"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.NER.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","NER","Niger","A","Annual","6","Millions","XG","Exports of goods","0.211118","1.542043","0.259064","1.010803","65.076691","1.203589","1.301141458179084","1.433021824493394","1.01231301453552"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.YEM.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","YEM","Yemen, Republic of","A","Annual","6","Millions","XG","Exports of goods","156.030928","304.068155","300.010469","249.720197","250.827605","234.383065","403.0522309445457","356.4850717535141","298.1452241341419"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.DOM.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","DOM","Dominican Republic","A","Annual","6","Millions","XG","Exports of goods","28.804766","32.02357","110.627173","87.744366","53.47434","93.707843","27.03691519456278","0.9607264036632614","0.984163051958484"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.COL.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","COL","Colombia","A","Annual","6","Millions","XG","Exports of goods","199.971484","426.642914","275.290901","152.663883","94.372603","336.601524","284.847040712858","205.4863140815147","195.459638497615"
